216,0,336,360
220,0,340,360
224,0,344,360
229,0,349,360
233,0,353,360
237,0,357,360
241,0,361,360
245,0,365,360
249,0,369,360
254,0,374,360
258,0,378,360
262,0,382,360
266,0,386,360
270,0,390,360
274,0,394,360
278,0,398,360
282,0,402,360
286,0,406,360
290,0,410,360
294,0,414,360
297,0,417,360
301,0,421,360
304,0,424,360
307,0,427,360
310,0,430,360
313,0,433,360
316,0,436,360
319,0,439,360
321,0,441,360
324,0,444,360
327,0,447,360
330,0,450,360
331,0,451,360
332,0,452,360
331,0,451,360
329,0,449,360
325,0,445,360
320,0,440,360
314,0,434,360
305,0,425,360
295,0,415,360
284,0,404,360
272,0,392,360
259,0,379,360
245,0,365,360
231,0,351,360
218,0,338,360
204,0,324,360
191,0,311,360
178,0,298,360
166,0,286,360
154,0,274,360
143,0,263,360
133,0,253,360
125,0,245,360
118,0,238,360
113,0,233,360
110,0,230,360
109,0,229,360
110,0,230,360
114,0,234,360
121,0,241,360
129,0,249,360
139,0,259,360
151,0,271,360
163,0,283,360
176,0,296,360
189,0,309,360
202,0,322,360
214,0,334,360
225,0,345,360
235,0,355,360
243,0,363,360
251,0,371,360
258,0,378,360
264,0,384,360
268,0,388,360
273,0,393,360
276,0,396,360
279,0,399,360
281,0,401,360
282,0,402,360
283,0,403,360
283,0,403,360
282,0,402,360
279,0,399,360
276,0,396,360
272,0,392,360
268,0,388,360
263,0,383,360
257,0,377,360
252,0,372,360
247,0,367,360
243,0,363,360
240,0,360,360
237,0,357,360
236,0,356,360
236,0,356,360
238,0,358,360
240,0,360,360
243,0,363,360
247,0,367,360
251,0,371,360
256,0,376,360
260,0,380,360
264,0,384,360
268,0,388,360
271,0,391,360
274,0,394,360
276,0,396,360
278,0,398,360
279,0,399,360
280,0,400,360
282,0,402,360
283,0,403,360
285,0,405,360
287,0,407,360
289,0,409,360
291,0,411,360
294,0,414,360
296,0,416,360
299,0,419,360
302,0,422,360
305,0,425,360
308,0,428,360
311,0,431,360
313,0,433,360
315,0,435,360
316,0,436,360
316,0,436,360
316,0,436,360
315,0,435,360
312,0,432,360
308,0,428,360
303,0,423,360
297,0,417,360
290,0,410,360
282,0,402,360
273,0,393,360
263,0,383,360
253,0,373,360
243,0,363,360
232,0,352,360
222,0,342,360
212,0,332,360
204,0,324,360
196,0,316,360
190,0,310,360
185,0,305,360
182,0,302,360
181,0,301,360
182,0,302,360
185,0,305,360
189,0,309,360
196,0,316,360
204,0,324,360
213,0,333,360
223,0,343,360
234,0,354,360
245,0,365,360
256,0,376,360
267,0,387,360
278,0,398,360
287,0,407,360
295,0,415,360
303,0,423,360
309,0,429,360
314,0,434,360
318,0,438,360
321,0,441,360
323,0,443,360
324,0,444,360
324,0,444,360
323,0,443,360
322,0,442,360
321,0,441,360
319,0,439,360
318,0,438,360
318,0,438,360
319,0,439,360
320,0,440,360
324,0,444,360
328,0,448,360
334,0,454,360
342,0,462,360
350,0,470,360
359,0,479,360
369,0,489,360
379,0,499,360
388,0,508,360
397,0,517,360
404,0,524,360
410,0,530,360
414,0,534,360
417,0,537,360
418,0,538,360
417,0,537,360
415,0,535,360
412,0,532,360
408,0,528,360
403,0,523,360
397,0,517,360
390,0,510,360
383,0,503,360
